,Unnamed: 0,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
135,3.0,33,100,5,5,50,0,1103.4989008076934,0,LR (TLN)
136,0.0,34,3,5,5,50,0,20751.31957103026,0,LR (TLN)
137,1.0,34,10,5,5,50,0,432.1232966439881,0,LR (TLN)
138,2.0,34,50,5,5,50,0,387.4130795325245,0,LR (TLN)
139,3.0,34,100,5,5,50,0,43854128.92709516,0,LR (TLN)
140,0.0,35,3,5,5,50,0,6383.015667122545,0,LR (TLN)
141,1.0,35,10,5,5,50,0,112978.7669597286,0,LR (TLN)
142,2.0,35,50,5,5,50,0,1043547183.6215242,0,LR (TLN)
143,3.0,35,100,5,5,50,0,1.2528952899839775e+24,0,LR (TLN)
144,0.0,36,3,5,5,50,0,16.91588082324221,0,LR (TLN)
145,1.0,36,10,5,5,50,0,834959.675549651,0,LR (TLN)
146,2.0,36,50,5,5,50,0,0.1522886290100171,0,LR (TLN)
147,3.0,36,100,5,5,50,0,2100.805685857148,0,LR (TLN)
148,0.0,37,3,5,5,50,0,0.5508844942572529,0,LR (TLN)
149,1.0,37,10,5,5,50,0,12308.631592470463,0,LR (TLN)
150,2.0,37,50,5,5,50,0,7761.383213945129,0,LR (TLN)
151,3.0,37,100,5,5,50,0,192.55001866773057,0,LR (TLN)
152,0.0,38,3,5,5,50,0,9.33857073125344,0,LR (TLN)
153,1.0,38,10,5,5,50,0,203618.1158290965,0,LR (TLN)
154,2.0,38,50,5,5,50,0,12.402446691550336,0,LR (TLN)
155,3.0,38,100,5,5,50,0,66.0358054300277,0,LR (TLN)
156,0.0,39,3,5,5,50,0,1.7024035350813386e+40,0,LR (TLN)
157,1.0,39,10,5,5,50,0,921.2835463507056,0,LR (TLN)
158,2.0,39,50,5,5,50,0,8.607377381985467,0,LR (TLN)
159,3.0,39,100,5,5,50,0,8750420431047.32,0,LR (TLN)
160,0.0,40,3,5,5,50,0,12.931876122710715,0,LR (TLN)
161,1.0,40,10,5,5,50,0,84.21925282576083,0,LR (TLN)
162,2.0,40,50,5,5,50,0,198.7665433493961,0,LR (TLN)
163,3.0,40,100,5,5,50,0,3.1956160877733046e+20,0,LR (TLN)
164,0.0,41,3,5,5,50,0,222.59446834183163,0,LR (TLN)
165,1.0,41,10,5,5,50,0,2976.884296627058,0,LR (TLN)
166,2.0,41,50,5,5,50,0,10467.441593802385,0,LR (TLN)
167,3.0,41,100,5,5,50,0,311.94482693736416,0,LR (TLN)
168,0.0,42,3,5,5,50,0,0.8520865478762701,0,LR (TLN)
169,1.0,42,10,5,5,50,0,47056976.09719614,0,LR (TLN)
170,2.0,42,50,5,5,50,0,72239.73696021721,0,LR (TLN)
171,3.0,42,100,5,5,50,0,59747.1204282246,0,LR (TLN)
172,0.0,43,3,5,5,50,0,0.675849477206575,0,LR (TLN)
173,1.0,43,10,5,5,50,0,35938763531001.25,0,LR (TLN)
174,2.0,43,50,5,5,50,0,811558.6496253277,0,LR (TLN)
175,3.0,43,100,5,5,50,0,98.08691695594013,0,LR (TLN)
176,0.0,44,3,5,5,50,0,7.441373999215758,0,LR (TLN)
177,1.0,44,10,5,5,50,0,8.637307917890027,0,LR (TLN)
178,2.0,44,50,5,5,50,0,314954.91234272666,0,LR (TLN)
179,3.0,44,100,5,5,50,0,0.3405645377508068,0,LR (TLN)
180,0.0,45,3,5,5,50,0,2238665230.6356816,0,LR (TLN)
181,1.0,45,10,5,5,50,0,161.40921506824048,0,LR (TLN)
182,2.0,45,50,5,5,50,0,228164873.62555933,0,LR (TLN)
183,3.0,45,100,5,5,50,0,6990.068375254734,0,LR (TLN)
184,0.0,46,3,5,5,50,0,3.0686550001609605e+202,0,LR (TLN)
185,1.0,46,10,5,5,50,0,504799.0082363336,0,LR (TLN)
186,2.0,46,50,5,5,50,0,7753623.159110611,0,LR (TLN)
187,3.0,46,100,5,5,50,0,88858.01740404544,0,LR (TLN)
188,0.0,47,3,5,5,50,0,20.4169541947936,0,LR (TLN)
189,1.0,47,10,5,5,50,0,2.3021326396142545e+66,0,LR (TLN)
190,2.0,47,50,5,5,50,0,28926344719.69994,0,LR (TLN)
191,3.0,47,100,5,5,50,0,83063.30705763376,0,LR (TLN)
