,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
9,10,90,40,40,50,0,322975933169.4413,0,"LR (40, True)"
10,10,100,40,40,50,0,1.3117309168518053e+37,0,"LR (40, True)"
0,11,5,40,40,50,0,1828491.091069891,0,"LR (40, True)"
1,11,10,40,40,50,0,2.801829288263245e+23,0,"LR (40, True)"
2,11,20,40,40,50,0,2.2132908039314401e+114,0,"LR (40, True)"
3,11,30,40,40,50,0,3.5189713792723046e+17,0,"LR (40, True)"
4,11,40,40,40,50,0,6.400198636149714e+23,0,"LR (40, True)"
5,11,50,40,40,50,0,255738097658602.56,0,"LR (40, True)"
6,11,60,40,40,50,0,7.081047803331454e+24,0,"LR (40, True)"
7,11,70,40,40,50,0,2.4484494364170573e+18,0,"LR (40, True)"
8,11,80,40,40,50,0,2.919376937204634e+18,0,"LR (40, True)"
9,11,90,40,40,50,0,4923864248057.393,0,"LR (40, True)"
10,11,100,40,40,50,0,530857184700.0917,0,"LR (40, True)"
0,12,5,40,40,50,0,482798956385.4357,0,"LR (40, True)"
1,12,10,40,40,50,0,1.1930211574900083e+274,0,"LR (40, True)"
2,12,20,40,40,50,0,8.839300121787481e+51,0,"LR (40, True)"
3,12,30,40,40,50,0,2121993552224418.5,0,"LR (40, True)"
4,12,40,40,40,50,0,4.971787428633746e+111,0,"LR (40, True)"
5,12,50,40,40,50,0,60357928.576329514,0,"LR (40, True)"
6,12,60,40,40,50,0,23695418450.83943,0,"LR (40, True)"
7,12,70,40,40,50,0,38982496.06528202,0,"LR (40, True)"
8,12,80,40,40,50,0,1.475162605591036e+21,0,"LR (40, True)"
9,12,90,40,40,50,0,59761164.46915954,0,"LR (40, True)"
10,12,100,40,40,50,0,19401670.992567375,0,"LR (40, True)"
0,13,5,40,40,50,0,1.383166375548182e+17,0,"LR (40, True)"
1,13,10,40,40,50,0,1.143055621947108e+125,0,"LR (40, True)"
2,13,20,40,40,50,0,2.364034630923062e+24,0,"LR (40, True)"
3,13,30,40,40,50,0,4.908019614420758e+62,0,"LR (40, True)"
4,13,40,40,40,50,0,3.6677401266407916e+36,0,"LR (40, True)"
5,13,50,40,40,50,0,6.151644521229214e+18,0,"LR (40, True)"
6,13,60,40,40,50,0,8.557491662800712e+23,0,"LR (40, True)"
7,13,70,40,40,50,0,1.7963074018657554e+101,0,"LR (40, True)"
8,13,80,40,40,50,0,521198945.2400508,0,"LR (40, True)"
9,13,90,40,40,50,0,49022222.38293975,0,"LR (40, True)"
10,13,100,40,40,50,0,83054056772.31323,0,"LR (40, True)"
0,14,5,40,40,50,0,3.273751504085701e+21,0,"LR (40, True)"
1,14,10,40,40,50,0,4.525339778194938e+48,0,"LR (40, True)"
2,14,20,40,40,50,0,92074027332403.66,0,"LR (40, True)"
3,14,30,40,40,50,0,48311712.329619065,0,"LR (40, True)"
4,14,40,40,40,50,0,1.4638199463652482e+25,0,"LR (40, True)"
5,14,50,40,40,50,0,4.265204432117277e+27,0,"LR (40, True)"
6,14,60,40,40,50,0,3.479371130537565e+25,0,"LR (40, True)"
7,14,70,40,40,50,0,1.0093625629661123e+17,0,"LR (40, True)"
8,14,80,40,40,50,0,1.0650180531752436e+21,0,"LR (40, True)"
9,14,90,40,40,50,0,3.1093519123983505e+111,0,"LR (40, True)"
10,14,100,40,40,50,0,1.737090385042078e+21,0,"LR (40, True)"
0,15,5,40,40,50,0,3.2632597679331e+45,0,"LR (40, True)"
1,15,10,40,40,50,0,7.732343481212067e+16,0,"LR (40, True)"
2,15,20,40,40,50,0,182329601131.6896,0,"LR (40, True)"
3,15,30,40,40,50,0,1.7409771629055763e+17,0,"LR (40, True)"
4,15,40,40,40,50,0,5.091832358865102e+35,0,"LR (40, True)"
5,15,50,40,40,50,0,1.0491170601553928e+18,0,"LR (40, True)"
6,15,60,40,40,50,0,265733.2991161822,0,"LR (40, True)"
7,15,70,40,40,50,0,135860435008505.84,0,"LR (40, True)"
