,Unnamed: 0,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
124,3.0,11,30,20,20,50,0,952355286846.2936,0,"LR (20, True)"
125,4.0,11,40,20,20,50,0,325492356325238.6,0,"LR (20, True)"
126,5.0,11,50,20,20,50,0,4.760566262748912e+22,0,"LR (20, True)"
127,6.0,11,60,20,20,50,0,5378937.509959065,0,"LR (20, True)"
128,7.0,11,70,20,20,50,0,2.2812059134781447e+21,0,"LR (20, True)"
129,8.0,11,80,20,20,50,0,4.6471206204388173e+21,0,"LR (20, True)"
130,9.0,11,90,20,20,50,0,3.1501725322089144e+25,0,"LR (20, True)"
131,10.0,11,100,20,20,50,0,4.998887039307896e+22,0,"LR (20, True)"
132,0.0,12,5,20,20,50,0,7729.459383928121,0,"LR (20, True)"
133,1.0,12,10,20,20,50,0,20074.77401240853,0,"LR (20, True)"
134,2.0,12,20,20,20,50,0,9365459780.603628,0,"LR (20, True)"
135,3.0,12,30,20,20,50,0,2195812287.103184,0,"LR (20, True)"
136,4.0,12,40,20,20,50,0,35736.260661969725,0,"LR (20, True)"
137,5.0,12,50,20,20,50,0,13128407687.962923,0,"LR (20, True)"
138,6.0,12,60,20,20,50,0,4.4263861648347865e+19,0,"LR (20, True)"
139,7.0,12,70,20,20,50,0,2808982364588.8955,0,"LR (20, True)"
140,8.0,12,80,20,20,50,0,666012851405.3591,0,"LR (20, True)"
141,9.0,12,90,20,20,50,0,166939684520.0663,0,"LR (20, True)"
142,10.0,12,100,20,20,50,0,9.332333619059618e+16,0,"LR (20, True)"
143,0.0,13,5,20,20,50,0,1.8631929248072102e+17,0,"LR (20, True)"
144,1.0,13,10,20,20,50,0,4.9029017341778124e+54,0,"LR (20, True)"
145,2.0,13,20,20,20,50,0,299.9556781401603,0,"LR (20, True)"
146,3.0,13,30,20,20,50,0,82627.19280265014,0,"LR (20, True)"
147,4.0,13,40,20,20,50,0,1.3115021932033672e+18,0,"LR (20, True)"
148,5.0,13,50,20,20,50,0,129680.36871596864,0,"LR (20, True)"
149,6.0,13,60,20,20,50,0,1889.8441721841496,0,"LR (20, True)"
150,7.0,13,70,20,20,50,0,3562374.564425163,0,"LR (20, True)"
