,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
2,20,30,100,100,50,0.09261059019523986,0,LR (False)
3,20,30,200,200,50,38.16629472041323,0,LR (False)
4,20,30,300,300,50,166.67735925144342,0,LR (False)
5,20,30,400,400,50,579.3710253412564,0,LR (False)
6,20,30,500,500,50,662979.500342061,0,LR (False)
7,20,30,600,600,50,18525645.323895905,0,LR (False)
8,20,30,700,700,50,4.412101762322625e+25,0,LR (False)
9,20,30,800,800,50,8.28915547581422e+152,0,LR (False)
10,20,30,900,900,50,6.829415551516717e+36,0,LR (False)
11,20,30,100,100,50,0.0012748455733082682,0,LR (False)
0,21,30,10,10,50,0.0023015910754336706,0,LR (False)
1,21,30,50,50,50,5.450761381979752e-07,0,LR (False)
2,21,30,100,100,50,0.0008588380740671793,0,LR (False)
3,21,30,200,200,50,55630.39228866619,0,LR (False)
4,21,30,300,300,50,7063.29730922999,0,LR (False)
5,21,30,400,400,50,6697.677007730239,0,LR (False)
6,21,30,500,500,50,9086111.819147922,0,LR (False)
7,21,30,600,600,50,683122640.3277519,0,LR (False)
8,21,30,700,700,50,1.3361736858345235e+126,0,LR (False)
9,21,30,800,800,50,7.433432355516021e+289,0,LR (False)
10,21,30,900,900,50,3.853474391992806e+148,0,LR (False)
11,21,30,100,100,50,9.273156649294438e-05,0,LR (False)
0,22,30,10,10,50,2.1111654751327376e-05,0,LR (False)
1,22,30,50,50,50,6.139669139145893e-07,0,LR (False)
2,22,30,100,100,50,0.0028601916832690934,0,LR (False)
3,22,30,200,200,50,7.840493054488589,0,LR (False)
4,22,30,300,300,50,5566.490966708211,0,LR (False)
5,22,30,400,400,50,40069.90756760454,0,LR (False)
6,22,30,500,500,50,13129850.216984175,0,LR (False)
7,22,30,600,600,50,50981687.36233284,0,LR (False)
8,22,30,700,700,50,3.959485576308437e+24,0,LR (False)
9,22,30,800,800,50,8.243668620372984e+114,0,LR (False)
10,22,30,900,900,50,1.9362770953842495e+185,0,LR (False)
11,22,30,100,100,50,0.0020918261647433684,0,LR (False)
0,23,30,10,10,50,1.52377206361772e-06,0,LR (False)
1,23,30,50,50,50,8.042942577186586e-06,0,LR (False)
2,23,30,100,100,50,0.0065557996281252725,0,LR (False)
