,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
1,13,30,50,50,50,1.2398505152082983e-06,0,LR (True)
2,13,30,100,100,50,0.010865679094065026,0,LR (True)
3,13,30,200,200,50,12.698489439425863,0,LR (True)
4,13,30,300,300,50,937.4667465057208,0,LR (True)
5,13,30,400,400,50,3218.7051751910917,0,LR (True)
6,13,30,500,500,50,44256.59335559984,0,LR (True)
7,13,30,600,600,50,75525551779.89447,0,LR (True)
8,13,30,700,700,50,2.659260000512207e+191,0,LR (True)
9,13,30,800,800,50,inf,0,LR (True)
10,13,30,900,900,50,6.681388767135287e+211,0,LR (True)
11,13,30,100,100,50,0.05389132315202734,0,LR (True)
0,14,30,10,10,50,4.3590998906339835e-07,0,LR (True)
1,14,30,50,50,50,5.0540564558671995e-05,0,LR (True)
2,14,30,100,100,50,0.001132360862654163,0,LR (True)
3,14,30,200,200,50,687.5168399386758,0,LR (True)
4,14,30,300,300,50,66.89311112155441,0,LR (True)
5,14,30,400,400,50,213814.7869856376,0,LR (True)
6,14,30,500,500,50,302662.26608781324,0,LR (True)
7,14,30,600,600,50,262321908.49146163,0,LR (True)
8,14,30,700,700,50,8.019737672762758e+44,0,LR (True)
9,14,30,800,800,50,2.329967582139613e+150,0,LR (True)
10,14,30,900,900,50,4.350926540512336e+159,0,LR (True)
11,14,30,100,100,50,0.019568305265941485,0,LR (True)
0,15,30,10,10,50,1.2331700851159846e-06,0,LR (True)
1,15,30,50,50,50,3.091298222901915e-05,0,LR (True)
2,15,30,100,100,50,0.0016861680459891457,0,LR (True)
3,15,30,200,200,50,188.31715302344313,0,LR (True)
4,15,30,300,300,50,305.59735793673246,0,LR (True)
5,15,30,400,400,50,628.1826340675525,0,LR (True)
6,15,30,500,500,50,154774.96467640717,0,LR (True)
7,15,30,600,600,50,3608476.335138293,0,LR (True)
8,15,30,700,700,50,3.5077928643089655e+126,0,LR (True)
9,15,30,800,800,50,inf,0,LR (True)
10,15,30,900,900,50,4.3507468700469475e+216,0,LR (True)
11,15,30,100,100,50,0.0003872339410747422,0,LR (True)
0,16,30,10,10,50,3.753462042417664e-08,0,LR (True)
1,16,30,50,50,50,0.044980372965028284,0,LR (True)
2,16,30,100,100,50,0.0005911413557551403,0,LR (True)
3,16,30,200,200,50,36.474709505451536,0,LR (True)
4,16,30,300,300,50,27083.43377998446,0,LR (True)
5,16,30,400,400,50,1452516.2640878207,0,LR (True)
6,16,30,500,500,50,1549394090.4040601,0,LR (True)
7,16,30,600,600,50,8806597949.409521,0,LR (True)
8,16,30,700,700,50,1.6420394083761848e+20,0,LR (True)
9,16,30,800,800,50,5.339259691471635e+142,0,LR (True)
10,16,30,900,900,50,7.260504578692285e+251,0,LR (True)
11,16,30,100,100,50,0.0007461303237521243,0,LR (True)
0,17,30,10,10,50,1.3174913100746025e-05,0,LR (True)
1,17,30,50,50,50,1.6329482226560123e-06,0,LR (True)
2,17,30,100,100,50,0.0006659029286725053,0,LR (True)
3,17,30,200,200,50,75.03146294789236,0,LR (True)
4,17,30,300,300,50,4019.0316154826487,0,LR (True)
5,17,30,400,400,50,92675.49312930167,0,LR (True)
6,17,30,500,500,50,154353.6474167031,0,LR (True)
7,17,30,600,600,50,10466481525.942211,0,LR (True)
8,17,30,700,700,50,1516899292996377.8,0,LR (True)
9,17,30,800,800,50,9.524733828110352e+156,0,LR (True)
10,17,30,900,900,50,inf,0,LR (True)
11,17,30,100,100,50,0.05236013668005878,0,LR (True)
