,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
188,9,8,50,50,50,0,1366.0944741629237,0,LR (True)
189,9,16,50,50,50,0,0.00011797914707234732,0,LR (True)
190,9,12,50,50,50,0,0.00242738671866928,0,LR (True)
191,9,10,50,50,50,0,0.3833719753544066,0,LR (True)
192,9,9,50,50,50,0,66.83026851323518,0,LR (True)
193,9,8,50,50,50,0,1366.0944741629237,0,LR (True)
194,10,2,50,50,50,0,1.9910886077022374e+180,0,LR (True)
195,10,4,50,50,50,0,4.127394245771809e+79,0,LR (True)
196,10,8,50,50,50,0,9651.900992206412,0,LR (True)
197,10,16,50,50,50,0,6.771984574079053e-05,0,LR (True)
198,10,12,50,50,50,0,0.004118630223078972,0,LR (True)
199,10,10,50,50,50,0,0.860197101198601,0,LR (True)
200,10,9,50,50,50,0,35.156459941036395,0,LR (True)
201,10,8,50,50,50,0,9651.900992206412,0,LR (True)
202,11,2,50,50,50,0,4.798212854665325e+162,0,LR (True)
203,11,4,50,50,50,0,2.204032504182019e+179,0,LR (True)
204,11,8,50,50,50,0,1410053436.6683886,0,LR (True)
205,11,16,50,50,50,0,1.606492124862825,0,LR (True)
206,11,12,50,50,50,0,1232.1434092168147,0,LR (True)
207,11,14,50,50,50,0,11.794012970772233,0,LR (True)
208,11,13,50,50,50,0,38.77838493396797,0,LR (True)
209,11,12,50,50,50,0,1232.1434092168147,0,LR (True)
210,12,2,50,50,50,0,8.64139174690345e+180,0,LR (True)
211,12,4,50,50,50,0,1.3915396439426264e+70,0,LR (True)
212,12,8,50,50,50,0,637.4211110692614,0,LR (True)
213,12,6,50,50,50,0,180510407.5408163,0,LR (True)
214,12,7,50,50,50,0,265593.5688324352,0,LR (True)
215,12,7,50,50,50,0,265593.5688324352,0,LR (True)
216,13,2,50,50,50,0,2.7230926675680267e+169,0,LR (True)
217,13,4,50,50,50,0,2.84990804918335e+186,0,LR (True)
218,13,8,50,50,50,0,109092.25152938088,0,LR (True)
219,13,16,50,50,50,0,0.00019218003105376077,0,LR (True)
220,13,12,50,50,50,0,0.1537611467310409,0,LR (True)
221,13,10,50,50,50,0,2.9884679313753573,0,LR (True)
222,13,9,50,50,50,0,86.918908007019,0,LR (True)
223,13,8,50,50,50,0,109092.25152938088,0,LR (True)
