,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
4,500,500,500,50,590868.1490645244,0,Simple
5,500,1000,1000,50,21288206.075512305,0,Simple
0,500,5,5,50,58.95996955865683,0,Simple
1,500,10,10,50,56.6237110027415,0,Simple
2,500,50,50,50,2899.047991032533,0,Simple
3,500,100,100,50,1043810.9852038039,0,Simple
4,500,500,500,50,121780.14656430861,0,Simple
5,500,1000,1000,50,101085.55956516044,0,Simple
0,500,5,5,50,0.421668020841541,0,Simple
1,500,10,10,50,21.842054991187013,0,Simple
2,500,50,50,50,35318.164221605955,0,Simple
3,500,100,100,50,1288262.896264631,0,Simple
4,500,500,500,50,1098100.3591489324,0,Simple
5,500,1000,1000,50,169874.7540432071,0,Simple
0,500,5,5,50,35.50657135291823,0,Simple
1,500,10,10,50,201.0860494043721,0,Simple
2,500,50,50,50,2513.6740075960915,0,Simple
3,500,100,100,50,7514600.279800188,0,Simple
4,500,500,500,50,45673.913234234176,0,Simple
5,500,1000,1000,50,1316572.1268833126,0,Simple
0,500,5,5,50,12.299374804670181,0,Simple
1,500,10,10,50,120.62428992335833,0,Simple
2,500,50,50,50,151300.6793158628,0,Simple
3,500,100,100,50,123340.85150530454,0,Simple
4,500,500,500,50,77405.0452716799,0,Simple
5,500,1000,1000,50,60633203.87222124,0,Simple
0,500,5,5,50,325921.0085810343,0,Simple
1,500,10,10,50,316.65993226849736,0,Simple
2,500,50,50,50,1121.8606762325405,0,Simple
3,500,100,100,50,7676.871688364826,0,Simple
4,500,500,500,50,5859008.015647098,0,Simple
5,500,1000,1000,50,2640267.6831680085,0,Simple
0,500,5,5,50,91.2926511987976,0,Simple
1,500,10,10,50,426202.4237493525,0,Simple
2,500,50,50,50,339326.5526829437,0,Simple
3,500,100,100,50,673416.593253918,0,Simple
4,500,500,500,50,94125.2187164107,0,Simple
5,500,1000,1000,50,16472295.788383821,0,Simple
0,500,5,5,50,302.5194389577535,0,Simple
1,500,10,10,50,62.77329748871035,0,Simple
2,500,50,50,50,154809.01569970656,0,Simple
3,500,100,100,50,4736.453021629272,0,Simple
4,500,500,500,50,912244.4241038377,0,Simple
