,Unnamed: 0.1,Unnamed: 0,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
50,50.0,2.0,12,100,100,100,50,2.57782424339743e-07,0,"LR (100, True)"
51,51.0,3.0,12,1000,100,100,50,9.494051462810733e-08,0,"LR (100, True)"
52,52.0,0.0,13,1,100,100,50,2.8238179198111052e+41,0,"LR (100, True)"
53,53.0,1.0,13,10,100,100,50,679809.3639049978,0,"LR (100, True)"
54,54.0,2.0,13,100,100,100,50,0.0005810509563725,0,"LR (100, True)"
55,55.0,3.0,13,1000,100,100,50,0.0005667894389184,0,"LR (100, True)"
56,56.0,0.0,14,1,100,100,50,2.268999098406557e+154,0,"LR (100, True)"
57,57.0,1.0,14,10,100,100,50,323.49423507803346,0,"LR (100, True)"
58,58.0,2.0,14,100,100,100,50,1.3005922685435802e-06,0,"LR (100, True)"
59,59.0,3.0,14,1000,100,100,50,4.386234672445079e-07,0,"LR (100, True)"
60,60.0,0.0,15,1,100,100,50,8.808109807194621e+207,0,"LR (100, True)"
61,61.0,1.0,15,10,100,100,50,24.18485133930335,0,"LR (100, True)"
62,62.0,2.0,15,100,100,100,50,8.341635698106836e-07,0,"LR (100, True)"
63,63.0,3.0,15,1000,100,100,50,1.268261551874156e-07,0,"LR (100, True)"
64,64.0,0.0,16,1,100,100,50,inf,0,"LR (100, True)"
65,65.0,1.0,16,10,100,100,50,145.36919059544064,0,"LR (100, True)"
66,66.0,2.0,16,100,100,100,50,4.32082233589018e-07,0,"LR (100, True)"
67,67.0,3.0,16,1000,100,100,50,1.2236362264421088e-07,0,"LR (100, True)"
68,68.0,0.0,17,1,100,100,50,6.779246408120918e+39,0,"LR (100, True)"
69,69.0,1.0,17,10,100,100,50,1005.5429002784103,0,"LR (100, True)"
70,70.0,2.0,17,100,100,100,50,3.8418027893516804e-07,0,"LR (100, True)"
71,71.0,3.0,17,1000,100,100,50,2.930077832328873e-07,0,"LR (100, True)"
72,72.0,0.0,18,1,100,100,50,1.9541602085787007e+147,0,"LR (100, True)"
73,73.0,1.0,18,10,100,100,50,17.98406212968994,0,"LR (100, True)"
74,74.0,2.0,18,100,100,100,50,5.866135517305155e-07,0,"LR (100, True)"
75,75.0,3.0,18,1000,100,100,50,4.687823335671008e-08,0,"LR (100, True)"
76,76.0,0.0,19,1,100,100,50,2.0312730007960944e+180,0,"LR (100, True)"
77,77.0,1.0,19,10,100,100,50,948.70627743684,0,"LR (100, True)"
78,78.0,2.0,19,100,100,100,50,3.348120720089336e-06,0,"LR (100, True)"
79,79.0,3.0,19,1000,100,100,50,1.531279240182998e-06,0,"LR (100, True)"
80,80.0,0.0,20,1,100,100,50,9.383211648649252e+72,0,"LR (100, True)"
81,81.0,1.0,20,10,100,100,50,67.63002281890397,0,"LR (100, True)"
82,82.0,2.0,20,100,100,100,50,2.850551991064604e-07,0,"LR (100, True)"
83,83.0,3.0,20,1000,100,100,50,1.398171598713077e-07,0,"LR (100, True)"
84,84.0,0.0,21,1,100,100,50,7.703774839782474e+132,0,"LR (100, True)"
85,85.0,1.0,21,10,100,100,50,13371.59910059984,0,"LR (100, True)"
86,86.0,2.0,21,100,100,100,50,0.0001152280221286,0,"LR (100, True)"
87,87.0,3.0,21,1000,100,100,50,2.591910382482104e-05,0,"LR (100, True)"
88,88.0,0.0,22,1,100,100,50,,0,"LR (100, True)"
89,89.0,1.0,22,10,100,100,50,96.89963278747004,0,"LR (100, True)"
90,90.0,2.0,22,100,100,100,50,1.2164841645421295e-06,0,"LR (100, True)"
91,91.0,3.0,22,1000,100,100,50,1.979043158898653e-07,0,"LR (100, True)"
92,92.0,0.0,23,1,100,100,50,inf,0,"LR (100, True)"
93,93.0,1.0,23,10,100,100,50,51.11542823052488,0,"LR (100, True)"
94,94.0,2.0,23,100,100,100,50,7.792474037636284e-07,0,"LR (100, True)"
95,95.0,3.0,23,1000,100,100,50,4.881258979069109e-07,0,"LR (100, True)"
96,96.0,0.0,24,1,100,100,50,6.1547034787664694e+60,0,"LR (100, True)"
97,97.0,1.0,24,10,100,100,50,72.6128819511667,0,"LR (100, True)"
98,98.0,2.0,24,100,100,100,50,1.787296962739721e-07,0,"LR (100, True)"
99,99.0,3.0,24,1000,100,100,50,7.443948404553983e-08,0,"LR (100, True)"
100,100.0,0.0,25,1,100,100,50,3.387947228801944e+34,0,"LR (100, True)"
101,101.0,1.0,25,10,100,100,50,27.55362735802173,0,"LR (100, True)"
102,102.0,2.0,25,100,100,100,50,9.170644691194344e-07,0,"LR (100, True)"
103,103.0,3.0,25,1000,100,100,50,1.1009171973719389e-07,0,"LR (100, True)"
104,104.0,0.0,26,1,100,100,50,4.856705250424103e+32,0,"LR (100, True)"
105,105.0,1.0,26,10,100,100,50,5202.594000870427,0,"LR (100, True)"
106,106.0,2.0,26,100,100,100,50,5.729428357113121e-06,0,"LR (100, True)"
107,107.0,3.0,26,1000,100,100,50,2.624971410355529e-06,0,"LR (100, True)"
108,108.0,0.0,27,1,100,100,50,1.029863908156961e+33,0,"LR (100, True)"
109,109.0,1.0,27,10,100,100,50,231.31429024708223,0,"LR (100, True)"
110,110.0,2.0,27,100,100,100,50,2.91519989455991e-07,0,"LR (100, True)"
111,111.0,3.0,27,1000,100,100,50,9.58920142861064e-08,0,"LR (100, True)"
112,112.0,0.0,28,1,100,100,50,inf,0,"LR (100, True)"
113,113.0,1.0,28,10,100,100,50,62.44034249051001,0,"LR (100, True)"
114,114.0,2.0,28,100,100,100,50,2.034670118469269e-07,0,"LR (100, True)"
115,115.0,3.0,28,1000,100,100,50,1.260645973286453e-07,0,"LR (100, True)"
116,116.0,0.0,29,1,100,100,50,1.883088587917352e+26,0,"LR (100, True)"
117,117.0,1.0,29,10,100,100,50,4714.961054345968,0,"LR (100, True)"
118,118.0,2.0,29,100,100,100,50,6.568368427688335e-06,0,"LR (100, True)"
119,119.0,3.0,29,1000,100,100,50,3.682850572815286e-06,0,"LR (100, True)"
120,0.0,,0,50,100,100,50,0.0002884494694481,0,"LR (100, True)"
121,1.0,,0,500,100,100,50,3.017750264825885e-06,0,"LR (100, True)"
122,0.0,,1,50,100,100,50,5.50096772048322e-06,0,"LR (100, True)"
123,1.0,,1,500,100,100,50,2.030743511123507e-07,0,"LR (100, True)"
124,0.0,,2,50,100,100,50,0.0379559863704823,0,"LR (100, True)"
125,1.0,,2,500,100,100,50,0.0093093649304621,0,"LR (100, True)"
126,0.0,,3,50,100,100,50,3.269971183464015e-06,0,"LR (100, True)"
127,1.0,,3,500,100,100,50,6.274336326643076e-08,0,"LR (100, True)"
128,0.0,,4,50,100,100,50,7.471645559132281e-06,0,"LR (100, True)"
129,1.0,,4,500,100,100,50,3.638030843906299e-07,0,"LR (100, True)"
130,0.0,,5,50,100,100,50,1.4917701071375987e-05,0,"LR (100, True)"
131,1.0,,5,500,100,100,50,1.015794751473718e-06,0,"LR (100, True)"
132,0.0,,6,50,100,100,50,3.584242980585847e-06,0,"LR (100, True)"
133,1.0,,6,500,100,100,50,3.681661019364597e-07,0,"LR (100, True)"
134,0.0,,7,50,100,100,50,2.432144260373884e-05,0,"LR (100, True)"
135,1.0,,7,500,100,100,50,1.265886986034784e-07,0,"LR (100, True)"
136,0.0,,8,50,100,100,50,1.9920724278686836e-05,0,"LR (100, True)"
137,1.0,,8,500,100,100,50,1.215151483442385e-07,0,"LR (100, True)"
138,0.0,,9,50,100,100,50,0.0001754342057596,0,"LR (100, True)"
139,1.0,,9,500,100,100,50,2.624950449259531e-05,0,"LR (100, True)"
140,0.0,,10,50,100,100,50,0.0241084445041958,0,"LR (100, True)"
141,1.0,,10,500,100,100,50,0.0041907848337566,0,"LR (100, True)"
142,0.0,,11,50,100,100,50,5.876744497099149e-06,0,"LR (100, True)"
143,1.0,,11,500,100,100,50,3.2499774059338376e-07,0,"LR (100, True)"
144,0.0,,12,50,100,100,50,4.685293841588146e-05,0,"LR (100, True)"
145,1.0,,12,500,100,100,50,1.0106632959218328e-05,0,"LR (100, True)"
146,0.0,,13,50,100,100,50,9.449624484359036e-06,0,"LR (100, True)"
147,1.0,,13,500,100,100,50,4.77255101117707e-07,0,"LR (100, True)"
148,0.0,,14,50,100,100,50,5.398335863531304e-06,0,"LR (100, True)"
149,1.0,,14,500,100,100,50,2.2539781022661185e-07,0,"LR (100, True)"
150,0.0,,15,50,100,100,50,1.3184333076273291e-05,0,"LR (100, True)"
151,1.0,,15,500,100,100,50,9.960008778960291e-07,0,"LR (100, True)"
152,0.0,,16,50,100,100,50,2.7090287736907883e-06,0,"LR (100, True)"
153,1.0,,16,500,100,100,50,3.419952633349293e-07,0,"LR (100, True)"
154,0.0,,17,50,100,100,50,2.2237622839197973e-05,0,"LR (100, True)"
155,1.0,,17,500,100,100,50,6.9140852783279845e-06,0,"LR (100, True)"
156,0.0,,18,50,100,100,50,3.170307341279553e-05,0,"LR (100, True)"
157,1.0,,18,500,100,100,50,7.193068770636216e-07,0,"LR (100, True)"
158,0.0,,19,50,100,100,50,1.3634491121255633e-05,0,"LR (100, True)"
159,1.0,,19,500,100,100,50,7.065855295696615e-07,0,"LR (100, True)"
160,0.0,,20,50,100,100,50,5.099835577189505e-06,0,"LR (100, True)"
161,1.0,,20,500,100,100,50,4.337478147369461e-07,0,"LR (100, True)"
162,0.0,,21,50,100,100,50,4.1035454450703065e-06,0,"LR (100, True)"
163,1.0,,21,500,100,100,50,4.4711082515242726e-08,0,"LR (100, True)"
164,0.0,,22,50,100,100,50,0.0001156976804692,0,"LR (100, True)"
165,1.0,,22,500,100,100,50,1.6072153610533423e-05,0,"LR (100, True)"
166,0.0,,23,50,100,100,50,0.0007266093402001,0,"LR (100, True)"
167,1.0,,23,500,100,100,50,1.925976209063728e-05,0,"LR (100, True)"
168,0.0,,24,50,100,100,50,7.7044352003209e-06,0,"LR (100, True)"
169,1.0,,24,500,100,100,50,1.4380786340432913e-07,0,"LR (100, True)"
170,0.0,,25,50,100,100,50,0.0001774178115227,0,"LR (100, True)"
171,1.0,,25,500,100,100,50,1.1853191927012e-06,0,"LR (100, True)"
172,0.0,,26,50,100,100,50,6.75616433312433e-05,0,"LR (100, True)"
173,1.0,,26,500,100,100,50,2.4531583525241603e-06,0,"LR (100, True)"
174,0.0,,27,50,100,100,50,0.0001341596948868,0,"LR (100, True)"
175,1.0,,27,500,100,100,50,1.7048399584801723e-05,0,"LR (100, True)"
176,0.0,,28,50,100,100,50,3.270588465061835e-05,0,"LR (100, True)"
177,1.0,,28,500,100,100,50,1.9517089476588945e-06,0,"LR (100, True)"
178,0.0,,29,50,100,100,50,1.1345471546417916e-05,0,"LR (100, True)"
179,1.0,,29,500,100,100,50,6.283732863033003e-08,0,"LR (100, True)"
0,,,0,20,100,100,50,31.729208243232033,0,"LR (100, True)"
1,,,0,30,100,100,50,0.0851080611342691,0,"LR (100, True)"
2,,,0,40,100,100,50,0.0005257991128376844,0,"LR (100, True)"
0,,,1,20,100,100,50,0.12485093069353806,0,"LR (100, True)"
1,,,1,30,100,100,50,6.240936300462128e-05,0,"LR (100, True)"
2,,,1,40,100,100,50,5.2868859308541655e-06,0,"LR (100, True)"
0,,,2,20,100,100,50,52.220785389020165,0,"LR (100, True)"
1,,,2,30,100,100,50,0.012384542612812717,0,"LR (100, True)"
2,,,2,40,100,100,50,0.000391130792276727,0,"LR (100, True)"
0,,,3,20,100,100,50,3.5307001021072635,0,"LR (100, True)"
1,,,3,30,100,100,50,0.0013387774841381664,0,"LR (100, True)"
2,,,3,40,100,100,50,2.0794886443350734e-05,0,"LR (100, True)"
0,,,4,20,100,100,50,5.189972315007555,0,"LR (100, True)"
1,,,4,30,100,100,50,0.0031112234420238444,0,"LR (100, True)"
2,,,4,40,100,100,50,3.908015158053774e-05,0,"LR (100, True)"
0,,,5,20,100,100,50,4.574367035423457,0,"LR (100, True)"
1,,,5,30,100,100,50,0.004954358550968305,0,"LR (100, True)"
2,,,5,40,100,100,50,5.0051808226919296e-05,0,"LR (100, True)"
0,,,6,20,100,100,50,445.89971029950016,0,"LR (100, True)"
1,,,6,30,100,100,50,0.032615632114336685,0,"LR (100, True)"
2,,,6,40,100,100,50,0.0006008201816981972,0,"LR (100, True)"
0,,,7,20,100,100,50,0.11668982533932347,0,"LR (100, True)"
1,,,7,30,100,100,50,6.685312704329703e-05,0,"LR (100, True)"
