,Unnamed: 0,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
114,4.0,22,1000,30,30,50,2.978049283042143e-07,0,"LR (30, True)"
115,0.0,23,10,30,30,50,0.0002266175057101,0,"LR (30, True)"
116,1.0,23,50,30,30,50,3.077886539027567e-07,0,"LR (30, True)"
117,2.0,23,100,30,30,50,1.908288263087014e-07,0,"LR (30, True)"
118,3.0,23,500,30,30,50,1.975670489666302e-07,0,"LR (30, True)"
119,4.0,23,1000,30,30,50,1.594822459693505e-07,0,"LR (30, True)"
120,0.0,24,10,30,30,50,0.0209966948774596,0,"LR (30, True)"
121,1.0,24,50,30,30,50,4.560777263605268e-06,0,"LR (30, True)"
122,2.0,24,100,30,30,50,5.656454945733528e-06,0,"LR (30, True)"
123,3.0,24,500,30,30,50,4.746391082133931e-06,0,"LR (30, True)"
124,4.0,24,1000,30,30,50,4.4704354923836526e-06,0,"LR (30, True)"
125,0.0,25,10,30,30,50,0.0058900607223584,0,"LR (30, True)"
126,1.0,25,50,30,30,50,1.3206782189458412e-05,0,"LR (30, True)"
127,2.0,25,100,30,30,50,1.2088585477868837e-05,0,"LR (30, True)"
128,3.0,25,500,30,30,50,1.1058094786492994e-05,0,"LR (30, True)"
129,4.0,25,1000,30,30,50,8.8216419175727e-06,0,"LR (30, True)"
130,0.0,26,10,30,30,50,0.0270990802375609,0,"LR (30, True)"
131,1.0,26,50,30,30,50,1.808442319588899e-05,0,"LR (30, True)"
132,2.0,26,100,30,30,50,5.593822406206853e-06,0,"LR (30, True)"
133,3.0,26,500,30,30,50,3.750148366219325e-06,0,"LR (30, True)"
134,4.0,26,1000,30,30,50,1.7960680319352796e-06,0,"LR (30, True)"
135,0.0,27,10,30,30,50,0.0001650781973292,0,"LR (30, True)"
136,1.0,27,50,30,30,50,1.230973395509974e-06,0,"LR (30, True)"
137,2.0,27,100,30,30,50,2.377556183679171e-06,0,"LR (30, True)"
138,3.0,27,500,30,30,50,8.130762153184153e-07,0,"LR (30, True)"
139,4.0,27,1000,30,30,50,9.55014980029095e-07,0,"LR (30, True)"
140,0.0,28,10,30,30,50,0.0130852001101291,0,"LR (30, True)"
141,1.0,28,50,30,30,50,1.517724727294844e-05,0,"LR (30, True)"
142,2.0,28,100,30,30,50,6.972901876140737e-06,0,"LR (30, True)"
143,3.0,28,500,30,30,50,4.505238171584884e-06,0,"LR (30, True)"
144,4.0,28,1000,30,30,50,4.60904752091921e-06,0,"LR (30, True)"
145,0.0,29,10,30,30,50,0.0002416403259202,0,"LR (30, True)"
146,1.0,29,50,30,30,50,4.084809675415535e-07,0,"LR (30, True)"
147,2.0,29,100,30,30,50,4.968146548318603e-07,0,"LR (30, True)"
148,3.0,29,500,30,30,50,3.050679292725453e-07,0,"LR (30, True)"
149,4.0,29,1000,30,30,50,3.2635939010918565e-07,0,"LR (30, True)"
0,,0,20,30,30,50,3.636841736529682e-06,0,"LR (30, True)"
1,,0,30,30,30,50,1.2288561135405543e-06,0,"LR (30, True)"
2,,0,40,30,30,50,1.141747159120079e-06,0,"LR (30, True)"
0,,1,20,30,30,50,1.13306272232791e-06,0,"LR (30, True)"
